INSTNM,Latitude,Longitude,ZIP,,,
Mid-America College of Funeral Service,38.31209564,-85.74480438,47130,,,
J Everett Light Career Center,47.97912979,-122.1958923,46240,,,
Robert Morris University Illinois,40.68997955,-89.59052277,60605,,,
Goddard College,44.28169632,-72.43881989,05667-9432,,,
New England Tractor Trailer Training School of CT-Bridgeport,44.0830574,-70.58229828,6608,,,
American Baptist College,36.20167542,-86.78983307,37207-9980,,,
Indiana Wesleyan University-Marion,40.51639938,-85.66213989,46953-4974,,,
Mt San Jacinto Community College District,33.81473923,-116.6794434,92583-2399,,,
James Rumsey Technical Institute,39.53147507,-77.97615814,25403-0259,,,
New Castle School of Trades,39.66065598,-75.56183624,16143-2522,,,
Wheelock College,42.34241867,-71.10546112,2215,,,
Southeastern Louisiana University - EBR Parish School System Prof Dev,30.51979446,-90.47032166,708000000,,,
Cape Fear Community College,34.22572708,-77.94470978,28401-3910,,,
Angeles College,33.99198151,-117.9214554,90010,,,
Southern Oregon University,42.18876648,-122.6906586,97520,,,
Brigham Young University-Hawaii,21.64316177,-157.9283752,96762-1294,,,
The Art Institute of Virginia Beach,36.84241486,-76.13170624,23462,,,
SUNY College at Potsdam,52.39614487,13.05853844,13676-2294,,,
The College of Health Care Professions-Southwest Houston,29.76080322,-95.36950684,77074,,,
Indian River State College,27.41940308,-80.36282349,34981-5596,,,
CBD College,25.77427483,-80.1911087,90010,,,
Chicago School of Professional Psychology-College of Nursing,41.88796997,-87.63349915,75080,,,
Shoreline Community College,47.74897003,-122.3596344,98133-5696,,,
The Evergreen State College,47.07273483,-122.9751434,98505-0001,,,
West Virginia Wesleyan College,38.99014282,-80.22161102,26201-2994,,,
Dayton School of Medical Massage,39.76098251,-84.19219971,45429,,,
Mount Carmel College of Nursing,39.95584869,-83.02158356,43222-1504,,,
Southern Wesleyan University,34.72920609,-82.76379395,29630-1020,,,
South Florida Bible College and Theological Seminary,26.30321121,-80.13444519,33442,,,
SAE Institute of Technology-Los Angeles,34.05223846,-118.2433472,90038,,,
Miller-Motte College-STVT-San Antonio,29.4251709,-98.49461365,78216,,,
Trine University-Regional/Non-Traditional Campuses,41.63171387,-85.00930786,46703,,,
Lancaster Bible College,40.07555008,-76.28795624,17601-5036,,,
Point University,32.87885284,-85.18424988,31833,,,
Argosy University-The Art Institute of California-Inland Empire,34.07092667,-117.2713623,92408-2800,,,
MacMurray College,39.73029709,-90.2230072,62650-2590,,,
Five Towns College,40.79363251,-73.3694458,11746-5871,,,
College of Saint Mary,41.24079514,-96.02086639,68106,,,
The College of Health Care Professions-Dallas,32.77797699,-96.79621124,75247,,,
Virginia College-Montgomery,33.47034836,-86.81745148,36117-2800,,,
Monroe College,40.86320114,-73.90003967,10468,,,
Cairn University-Langhorne,40.16436005,-74.90743256,19047-2990,,,
NUC University,34.36377335,-89.53578186,960,,,
Centra College,64.87072754,-147.8238831,24501,,,
Miller-Motte College-Platt College-Lawton,34.60559082,-98.38942719,73501,,,
Irene's Myomassology Institute,-25.88107681,28.2182827,48033,,,
The College of Health Care Professions-South San Antonio,30.32288933,-97.6990509,78221-1474,,,
Auguste Escoffier School of Culinary Arts-Boulder,40.01687241,-105.2796249,80305,,,
Merced College,37.33459473,-120.4731369,95348-2806,,,
UEI College-Gardena,33.89271927,-118.287796,90247-4201,,,
Visible Music College,35.14454651,-90.04923248,38103,,,
Platt College-Riverside,42.23262399,-83.69979319,92507,,,
Eastern Florida State College,28.1697197,-80.66999817,32935,,,
City College-Hollywood,18.58250809,-72.26343536,33024-4045,,,
Mount Mercy University,42.00385284,-91.65499115,52402-4797,,,
Central Christian College of Kansas,38.35706711,-97.66766357,67460-5740,,,
Los Angeles Mission College,34.31467819,-118.4188995,91342-3200,,,
SUM Bible College and Theological Seminary,31.56250954,-89.49692535,95762,,,
American Career College-Ontario,34.06832504,-117.5837784,91764,,,
Beth Medrash Govoha,40.09550095,-74.22200012,08701-2754,,,
Wayne County Community College District,42.45023727,-82.93289948,48226,,,
Strayer University-Alabama,33.21250916,-87.54587555,35203,,,
Grand Rapids Community College,42.96578979,-85.66670227,49503-3295,,,
Briar Cliff University,42.52642822,-96.42416382,51104,,,
Harrisburg University of Science and Technology,40.26190186,-76.88020325,17101-2208,,,
Delaware State University,39.18635559,-75.54317474,19901,,,
The Art Institute of Houston,29.74842072,-95.47086334,77027-9625,,,
Miller-Motte College-STVT-Corpus Christi,27.79641533,-97.40412903,78416,,,
Cosumnes River College,38.45230865,-121.4225388,95823-5799,,,
Argosy University-The Art Institute of California-Hollywood,34.07092667,-117.2713623,91601,,,
Strayer University-New Jersey,40.88373947,-74.05591583,8854,,,
Fortis College-Cutler Bay,25.58250046,-80.34667206,33157-7693,,,
Husson University,44.82709122,-68.79319763,04401-2999,,,
Crafton Hills College,34.03940201,-117.0996475,92339-1799,,,
ITT Technical Institute-Duluth,46.78283691,-92.10551453,30097,,,
Eastern International College-Jersey City,40.71749496,-74.04411316,7306,,,
Bellingham Technical College,48.76501846,-122.5103836,98225-1599,,,
City College-Gainesville,29.62971306,-82.33956146,32607,,,
Culinary Institute Inc,41.74809265,-73.93349457,77022-4322,,,
Art Academy of Cincinnati,39.10886383,-84.51387787,45202-1706,,,
Johnson & Wales University-Online,41.82014465,-71.41255951,2903,,,
Western Area Career & Technology Center,8.47900391,-13.26795006,15317,,,
Arizona College of Nursing-Tampa,27.95558929,-82.52333832,33607,,,
Oglethorpe University,33.87626648,-84.33448029,30319-2797,,,
Transitions Career Institute School of Nursing,36.21824265,-115.2087097,11354-1964,,,
Farmingdale State College,40.75289917,-73.4265976,11735-1021,,,
University of Phoenix-Texas,29.51579666,-98.55535126,77079,,,
Daymar College-Madisonville,37.32817841,-87.49880219,42431,,,
Western Technical College,31.67564964,-106.3199539,79927,,,
North Central Texas College,33.61880112,-97.16600037,76240-4699,,,
Los Angeles Trade Technical College,34.03143311,-118.2707367,90015-4181,,,
Saint Mary's College of California,37.84065247,-122.1071091,94575,,,
Purdue University - Purdue Polytechnic New Albany,40.42803192,-86.92464447,47150,,,
Prism Career Institute-Upper Darby,39.95832825,-75.30805969,19082,,,
Eastwick College-Ramsey,28.1795525,-82.416476,07446-2551,,,
Estrella Mountain Community College,33.48065948,-112.3444214,85392-1000,,,
Colorado State University Pueblo,38.30868149,-104.5772858,81001-4901,,,
Advanced College,38.026474,-121.2947159,90280,,,
ITT Technical Institute-Richardson,32.96076202,-96.73352051,75080,,,
Commonwealth Technical Institute,38.07543945,-78.48648071,15905,,,
Northland Community and Technical College - East Grand Forks,47.92860413,-97.02230072,56721,,,
St Paul's School of Nursing-Staten Island,40.64349747,-74.07620239,10311,,,
DeVry University-Oregon,44.04432297,-123.0723648,97225,,,
West Virginia State University,38.38281631,-81.76626587,25112-1000,,,
UEI College-Chula Vista,32.64007187,-117.0840454,91911-3262,,,
Golden Gate University-Silicon Valley,37.78923035,-122.3988571,951000000,,,
Jesuit School of Theology of Santa Clara University,37.87765121,-122.2585754,94709,,,
Northland College,46.58012772,-90.87441254,54806-3999,,,
Paine College,33.46964645,-81.99568939,30901-3182,,,
San Diego City College,32.7181015,-117.1516037,92101-4787,,,
West Valley College,37.26343155,-122.0101166,95070-5698,,,
ITT Technical Institute-Eden Prairie,44.85403442,-93.46016693,55344,,,
Healthcare Training Institute,48.10599899,-122.7890015,70062-7630,,,
Lincoln University,39.80639267,-75.92796326,19352-0999,,,
Lenape Technical School Practical Nursing Program,40.76774216,-79.52162933,16226,,,
Cass Career Center,38.89886856,-77.04689789,64701-2024,,,
Mississippi University for Women,33.49188614,-88.41856384,39701,,,
Nazarene Bible College,38.81375885,-104.7530823,80920,,,
American College of the Building Arts,32.80501938,-79.94690704,29403-4223,,,
Milan Institute-Amarillo,35.20700836,-101.832016,79106,,,
ITT Technical Institute-Oakland,37.80482864,-122.2724762,94612,,,
Harcum College,40.02109909,-75.3125,19010-3476,,,
Schuyler Steuben Chemung Tioga Allegany BOCES,42.0083313,-76.62359619,14903,,,
Hartnell College,36.67337418,-121.668396,93901,,,
Texas State Technical College,31.63711739,-97.08412933,76705,,,
Sullivan College of Technology and Design,38.20024872,-85.68894196,40218,,,
Virginia College-Austin,33.64741135,-96.59819031,78728,,,
Purdue University - Purdue Polytechnic South Bend,40.42803192,-86.92464447,46601,,,
Miami International University of Art & Design-Art Institute Dallas,25.78989792,-80.18873596,75231-5993,,,
Thanh Le College School of Cosmetology,18.78333092,105.3333283,92840,,,
Slippery Rock University of Pennsylvania,41.06469345,-80.03555298,16057-1383,,,
Universal Technical Institute of Arizona Inc,33.45254898,-112.2877502,85323,,,
Springfield College-Regional Online and Continuing Education,53.3875755,-2.5982742,1109,,,
Davenport University-Holland Location,42.84989929,-85.53066254,494000000,,,
Davenport University-Lansing Location,42.72940445,-84.54985046,489000000,,,
Sanford-Brown College-Seattle,47.60322952,-122.3302765,98188-0000,,,
American Conservatory Theater,-42.86568832,147.3310547,94102,,,
Virginia College-Jackson,42.16433716,-84.40327454,39211,,,
Fortis Institute-Towson,39.4018631,-76.60504913,21204-9840,,,
Victor Valley College,34.47360992,-117.9122162,92395-5850,,,
ITT Technical Institute-Madison,43.07392502,-89.38524628,53713,,,
Rio Grande Valley College,33.69789124,-106.9554977,78577-2106,,,
California Technical Academy,33.11860657,-117.1142578,92507,,,
Hussian College-Daymar College Columbus,36.96837234,-86.47361755,43232,,,
Cayuga Onondaga BOCES-Practical Nursing Program,39.89798737,-77.68057251,13021,,,
Herzing University-Birmingham,52.4499321,-1.93152285,35209,,,
Porter and Chester Institute of Chicopee,42.14832687,-72.60695648,10221400,,,
Porter and Chester Institute of Canton,41.16946411,-73.14927673,20212480,,,
UEI College-Fresno,36.78250122,-119.7903366,93726-5398,,,
Orange Technical College-East Campus,28.47032356,-81.41555023,32789-3049,,,
Irvine Valley College,33.67670059,-117.7775726,92618-0301,,,
The North Coast College,44.6382124,-124.0530989,44107,,,
Massachusetts Bay Community College,42.31231689,-71.26366425,02481-5399,,,
Stevens-The Institute of Business & Arts,45.45547485,-96.17938232,63103,,,
Huntsville Bible College,34.7503891,-86.59550476,35811-1632,,,
SAE Institute of Technology-Nashville,36.1663475,-86.77905273,37203,,,
California State University Maritime Academy,38.06959152,-122.2301712,94590-8181,,,
Dorsey College-Dearborn,42.32213974,-83.17594147,48228,,,
Briarcliffe College,40.75852585,-73.49019623,11716,,,
Medical Career College of Northern California,37.51506805,-121.9824905,95678-5133,,,
Miller-Motte College-Arizona Automotive Institute,35.03427505,-85.18180847,85301-3579,,,
Argosy University-Dallas,32.87182236,-96.76724243,75244,,,
College of Lake County,42.35514069,-88.01400757,60030-1198,,,
Concorde Career College-Grand Prairie,34.06681442,-117.2842484,75052-3831,,,
South University-Richmond,37.64707184,-77.59992218,23060,,,
Aveda Arts & Sciences Institute-Covington,32.08705865,-81.17604625,70433,,,
University of Puerto Rico-Mayaguez,18.21090126,-67.14092255,681,,,
Concordia University Texas,30.41870117,-97.83836365,78726,,,
Albany College of Pharmacy and Health Sciences,42.65193176,-73.77861023,12208-3492,,,
Central California School of Continuing Education -,30.09347343,31.33532524,932000000,,,
University of Montevallo,33.10543442,-86.86512756,35115-6000,,,
Prescott College,34.54481506,-112.4766312,86301,,,
Eastern Oregon University,45.31767654,-118.0905991,97850,,,
ITT Technical Institute-Cary,35.79147339,-78.78114319,27518,,,
CES College,64.87072754,-147.8238831,91502-2750,,,
ITT Technical Institute-Fort Myers,26.61414909,-81.82576752,33912,,,
Brookhaven College,32.92885971,-96.85018158,75244-4997,,,
ITT Technical Institute-Norwood,42.19484711,-71.20037842,45212,,,
ITT Technical Institute-Dayton,39.76098251,-84.19219971,45414-3877,,,
Eagle Gate College-Murray,41.07299423,-111.9734039,84123-6965,,,
Douglas J Aveda Institute,54.14977264,-4.47790194,48823,,,
University of the Potomac-Washington DC Campus,38.90449142,-77.04225159,20005,,,
Lansing Community College,42.73842239,-84.55276489,48933,,,
Black Hills State University,44.49807739,-103.8731613,57799-9500,,,
Sterling College,38.22000122,-98.20777893,05827-0072,,,
G Skin & Beauty Institute,38.38342285,-81.76409912,60523,,,
ITT Technical Institute-Spokane Valley,47.67164993,-117.2342758,99216-1589,,,
Missouri Southern State University,37.09595108,-94.46219635,64801-1595,,,
FVI School of Nursing and Technology,-33.93360138,18.62269974,33144,,,
Troy University-Montgomery Campus,32.37590027,-86.31046295,361000000,,,
Daymar College-Owensboro,37.77269745,-87.11103058,42301,,,
Ottawa University-Phoenix,38.60111618,-95.2612381,85021,,,
Simpson University,40.6143837,-122.3317642,96003-8606,,,
W L Bonner College,33.203238,-96.627512,29203-5901,,,
Institute for Business and Technology,-0.2934083,36.01538086,95051-1303,,,
ITT Technical Institute-Chattanooga,35.04575729,-85.30828857,37411,,,
ITT Technical Institute-South Bend,29.52536583,-95.12174225,46635,,,
Eastern Nazarene College,42.27106476,-71.01129913,02170-2999,,,
Davis Technical College,41.0288887,-111.9250031,84037-2699,,,
Santa Barbara Business College-Bakersfield,34.41609955,-119.6966095,93309,,,
Strayer University-Augusta Campus,33.4706955,-81.9892807,30909,,,
Strayer University-Chesterfield Campus,42.73195455,-84.47867341,23113,,,
Strayer University-King of Prussia Campus,40.08832169,-75.38212585,19406,,,
Strayer University-Takoma Park Campus,38.98103714,-77.01029968,20012,,,
Strayer University-Cobb Campus,38.80154037,-77.08031464,30339,,,
Strayer University-Newport News Campus,37.08550644,-76.4730835,23606,,,
Strayer University-Delaware County Campus,39.93569946,-75.35199738,19064,,,
Strayer University-Baymeadows Campus,38.80154037,-77.08031464,32256,,,
Strayer University-Plano,33.01969528,-96.69758606,75093,,,
Strayer University-Sand Lake Campus,42.63749313,-73.54076385,32819,,,
Strayer University-Savannah Campus,32.07017136,-81.14836884,31405,,,
Strayer University-Manassas Campus,38.75077057,-77.47509003,20109,,,
Strayer University-Maitland Campus,28.62706757,-81.35910034,32751,,,
Strayer University-Coral Springs Campus,26.27251053,-80.25418091,33076,,,
Strayer University-South Charlotte,35.2237854,-80.84114075,28273,,,
Strayer University-Huntsville Campus,34.72954178,-86.58530426,35805,,,
Strayer University-Huntersville Campus,35.41056442,-80.84899139,28078,,,
Strayer University-Nashville Campus,36.1663475,-86.77905273,37210,,,
Strayer University-North Dallas,32.88055038,-96.78357697,752000000,,,
Strayer University - Cherry Hill Campus,39.90972519,-74.98709869,8002,,,
Strayer University-Columbus,38.80154037,-77.08031464,31901,,,
ITT Technical Institute-Waco,31.55682564,-97.13002014,76706-0000,,,
ITT Technical Institute-Clive,42.49549484,-71.12285614,50325,,,
South University-Tampa,27.9822979,-82.50040436,33614-7095,,,
Huston-Tillotson University,30.26464844,-97.7223587,78702-2795,,,
National Tractor Trailer School Inc-Liverpool,53.40906906,-2.97715402,13088-0208,,,
ITT Technical Institute-Fort Wayne,41.07747269,-85.13749695,46825,,,
Vista College-Online,33.45567703,-88.78199768,75080,,,
Universal Healthcare Careers College,40.90749359,-73.78427124,90015-3811,,,
University of Phoenix-Colorado,38.99855042,-105.5478363,80124,,,
Northland Career Center,38.89886856,-77.04689789,64079,,,
Ozarks Technical Community College,37.21660233,-93.27985382,65802,,,
Prince George's Community College,38.88610458,-76.82658386,20774-2199,,,
South Central College-Faribault,44.29475784,-93.26844788,550000000,,,
Rasmussen University-Minnesota,44.85945129,-93.33609772,56301-3713,,,
UEI College-Huntington Park,52.3290234,-0.1970155,90255-2933,,,
Chandler-Gilbert Community College,33.2933197,-111.7961426,85225-2499,,,
School of the Museum of Fine Arts at Tufts University,42.3385582,-71.09676361,02115-5596,,,
Brookline College-Tucson,32.20746994,-110.8767624,85711,,,
ITT Technical Institute-Norfolk,51.517395,-0.1736286,23513,,,
East-West Healing Arts Institute,43.05599976,-89.49103546,53719-1133,,,
University of Akron Wayne College,40.86254883,-81.79268646,44667,,,
ITT Technical Institute-Houston North,29.9273262,-95.51554108,77090,,,
Webber International University,27.83860016,-81.53266907,33827-0096,,,
Pillar College,40.53699875,-74.57800293,7102,,,
South Texas Vocational Technical Institute-Brownsville,25.90304565,-97.49888611,78521,,,
The University of Texas Health Science Center at Houston,29.70305061,-95.40319824,77030,,,
New England Tractor Trailer Training School of Connecticut,41.57515335,-72.73828125,6071,,,
Brookdale Community College,40.32596588,-74.13118744,07738-1597,,,
Northwest Missouri State University,40.34912491,-94.88134003,64468-6001,,,
ITT Technical Institute-Portland,45.51601791,-122.681427,97220,,,
Quinsigamond Community College,42.31464005,-71.79372406,01606-2092,,,
Middle Georgia State University,32.81103897,-83.73251343,31206,,,
ITT Technical Institute-Jacksonville,30.32596779,-81.65676117,32256,,,
ITT Technical Institute-Everett,47.97912979,-122.1958923,98203,,,
Mineral County Vocational Technical Center,38.52445221,-118.6236115,26726,,,
University of the District of Columbia,38.94338989,-77.06320953,20008,,,
Our Lady of the Lake University,29.42635155,-98.54397583,78207-4689,,,
Strayer University-Center City Campus,39.9541893,-75.1601181,19102,,,
Strayer University-Owings Mills Campus,39.41368103,-76.78165436,21117,,,
Strayer University-Douglasville Campus,33.75217438,-84.74074554,30135,,,
Strayer University-Henrico Campus,37.68647385,-77.59220123,23059,,,
Strayer University-North Raleigh Campus,35.89578247,-78.61342621,27616,,,
Strayer University-San Antonio,29.58329391,-98.61990356,782000000,,,
Strayer University-Palm Beach Gardens Campus,26.80979347,-80.13631439,33410,,,
Strayer University - Decatur Campus,33.77355576,-84.29656219,356000000,,,
Strayer University-Woodbridge Campus,38.66353226,-77.24559784,22192,,,
Strayer University-Lower Bucks County Campus,44.59332164,-75.16282752,19053,,,
Strayer University-Columbia Campus,40.80732727,-73.96176147,29210,,,
Strayer University-Miramar Campus,32.77921677,-117.1180496,33027,,,
Strayer University-Greensboro Campus,36.0949173,-79.88702393,27407,,,
Strayer University-Rockville Campus,39.08417892,-77.1529007,20850,,,
Strayer University-Orlando East Campus,28.49866676,-81.27500153,32801,,,
Strayer University-Cedar Hill,32.58990479,-96.95423126,751000000,,,
Strayer University - Macon Campus,32.83809662,-83.67050934,312000000,,,
Metropolitan College of New York,40.72341537,-74.0067749,10006-1742,,,
Cortiva Institute-Chicago,41.8832283,-87.63240051,60602,,,
CyberTex Institute of Technology,30.32447624,-97.70288086,78752,,,
Grossmont College,32.81699371,-117.0060272,92020-1799,,,
Penn Commercial Business/Technical School,51.63835144,-0.66634351,15301-6822,,,
M State - Moorhead Campus,46.87380981,-96.76781464,566000000,,,
Cuyahoga Valley Career Center,41.25930405,-81.57154846,44141-1296,,,
Myotherapy College of Utah,39.32378006,-111.6782227,84107,,,
Universal College of Healing Arts,41.33913803,-95.96131897,68112-1810,,,
Johnson College,41.45012283,-75.64191437,18508-1495,,,
ITT Technical Institute-Bessemer,33.4056282,-86.96174622,35022,,,
Rocky Mountain College,45.79686737,-108.5534744,59102-1796,,,
Keiser University-Pembroke Pines,26.00543404,-80.27971649,33027,,,
Miller-Motte College-Wilmington,35.03427505,-85.18180847,28405,,,
Greater Johnstown Career and Technology Center,40.26968765,-78.83672333,15904-2998,,,
Moody Bible Institute,41.89886093,-87.63439178,60610-3284,,,
North Seattle College,47.69940948,-122.3324356,98103-3599,,,
ITT Technical Institute-Tampa,27.94742393,-82.45877838,33634-7350,,,
University of Providence,47.48597717,-111.2702637,59405-4996,,,
University of West Alabama,32.5951767,-88.18911743,35470,,,
Florida National University-Main Campus,25.86092567,-80.32167053,33012,,,
Vista College,33.45567703,-88.78199768,79925-2021,,,
Moraine Valley Community College,41.69259644,-87.83961487,60465-0937,,,
Middlesex Community College,42.52296448,-71.27339935,01730-9124,,,
ITT Technical Institute-Austin,30.26497841,-97.74659729,78723,,,
ITT Technical Institute-Tulsa,36.15532684,-95.99208069,74134,,,
The Art Institute of Las Vegas,36.02457809,-115.0903015,89074-7737,,,
ITT Technical Institute-San Dimas,34.10667801,-117.8027496,91773,,,
ITT Technical Institute-San Antonio,29.4251709,-98.49461365,78249-3303,,,
Lincoln College of Technology-Nashville,36.1663475,-86.77905273,37206,,,
ITT Technical Institute-Oxnard,34.22107697,-119.1456986,93036,,,
Florida School of Traditional Midwifery,28.59551239,-82.48734283,32601,,,
UEI College-Reseda,34.20476532,-118.5347519,91335-4631,,,
Spencerian College-Louisville,38.23210144,-85.63130188,40216,,,
ITT Technical Institute-Webster,42.49549484,-71.12285614,77598,,,
Valley College-Martinsburg,39.4562149,-77.96391296,25404-6203,,,
Lincoln College of Technology-Marietta,33.95230484,-84.54904938,30067,,,
The College of Westchester,41.03379822,-73.7845993,10606-1200,,,
Centura College-Chesapeake,38.95153427,-76.0830307,23320,,,
American College of Education,41.88230133,-87.63729858,46204,,,
Washburn Institute of Technology,39.04436111,-95.75128937,66604,,,
ITT Technical Institute-Warrensville Heights,41.44151306,-81.53607941,44128,,,
ITT Technical Institute-Omaha,41.21172333,-96.06723022,68114,,,
ITT Technical Institute-Pensacola,30.40689659,-87.21756744,32504-6638,,,
Ridgewater College,45.13750076,-95.07219696,56201,,,
California Institute of Integral Studies,37.77458191,-122.4161682,94103,,,
Advanced College-Stockton,38.026474,-121.2947159,95120-3145,,,
Pioneer Pacific College,45.32166672,-122.7680588,97005,,,
Antonelli Institute,40.0900383,-75.20977783,19038-8242,,,
ITT Technical Institute-Owings Mills,39.41368103,-76.78165436,21117,,,
Hellenic College-Holy Cross Greek Orthodox School of Theology,42.3170929,-71.12903595,02445-7415,,,
Bellin College,44.46793747,-87.92134857,54311,,,
ITT Technical Institute-Charlotte South,35.2237854,-80.84114075,28217,,,
Aultman College of Nursing and Health Sciences,30.21243095,-92.01895142,44710-1797,,,
ITT Technical Institute-Phoenix West,42.49549484,-71.12285614,85037-4445,,,
Florida Technical College,29.00866318,-81.3024826,32826,,,
ITT Technical Institute-Columbia,34.00928497,-81.03709412,29210,,,
ITT Technical Institute-Wyoming,42.99962616,-107.551445,49519,,,
ITT Technical Institute-Oklahoma City,35.46849442,-97.52126312,73118,,,
Fortis College-Ravenna,44.41573715,12.19658947,44266,,,
Milan Institute-Boise,43.59093094,-116.2954941,83709,,,
South University-Virginia Beach,36.83367157,-76.12384033,23452,,,
Kentucky Christian University,38.33924484,-82.9468689,41143-1199,,,
Aveda Arts & Sciences Institute-New York,43.11697623,-77.75230317,10013,,,
Minneapolis Community and Technical College,44.97264481,-93.2835083,55403-1779,,,
The Art Institute of Seattle,47.61219788,-122.3490906,98121-1622,,,
Texas Tech University Health Sciences Center,35.20117188,-101.9236755,79430,,,
Centura College-Richmond Main,37.60855103,-77.519104,23235-5250,,,
ITT Technical Institute-Boise,43.61579132,-116.2015762,83713-1529,,,
College of Western Idaho,43.61417007,-116.5072174,83687,,,
The Art Institute of Raleigh-Durham,35.18361282,-80.9263916,27701,,,
Lees-McRae College,36.15764236,-81.87374115,28604,,,
Networks Barber College,64.87072754,-147.8238831,606000000,,,
Troy University-Phenix City Campus,32.42295074,-85.02979279,369000000,,,
Hussian College-Daymar College Clarksville,36.51648331,-87.32039642,37040,,,
ITT Technical Institute-Akron,41.08481979,-81.51560974,44333,,,
Community College of Philadelphia,39.96162033,-75.16653442,19130-3991,,,
Center for Neurosomatic Studies,54.8927803,23.90250015,33760,,,
The Art Institute of Washington,38.89599991,-77.07250214,22209-1802,,,
Strayer University-Warrendale Campus,40.65320969,-80.07950592,15086,,,
Strayer University-Fredericksburg Campus,38.28875351,-77.53735352,22406,,,
Strayer University-Roswell Campus,38.80154037,-77.08031464,30076,,,
Strayer University-White Marsh Campus,39.37338638,-76.44303131,21236,,,
Strayer University-Shelby Oaks Campus,38.80154037,-77.08031464,38133,,,
Strayer University-North Charlotte,35.2462616,-80.79706573,28025,,,
Strayer University-Northwest Houston,29.76080322,-95.36950684,77064-5768,,,
Strayer University-Knoxville Campus,35.96264267,-83.91672516,37929,,,
Strayer University-South Raleigh Campus,35.74819183,-78.61472321,27603,,,
Annenberg School of Nursing,34.20080185,-118.553894,91335-5426,,,
Harrisburg Area Community College-York,40.29113388,-76.88469696,174000000,,,
Hollins University,37.35494614,-79.94178009,24020,,,
Mercy College of Ohio,41.6584816,-83.55171204,43604-1132,,,
Alaska Vocational Technical Center,64.14451599,-152.2798309,99664-0889,,,
Maryville College,35.75166321,-83.96257019,37804-5907,,,
Paul Mitchell the School-Miami,25.77508354,-80.19470215,33156,,,
Dorsey College-Roseville,-33.7845192,151.1826325,48066,,,
Centura College-Columbia,37.60855103,-77.519104,29223,,,
Columbus State University,32.50191879,-84.94112396,31907-5645,,,
Joliet Junior College,41.50066757,-88.18080139,60431-8938,,,
ITT Technical Institute-Huntington,33.98340319,-84.3381271,25705,,,
ITT Technical Institute-Albany,42.49549484,-71.12285614,12205,,,
Milan Institute-Bakersfield West,35.38819504,-119.0381699,93308-9301,,,
The Ailey School,32.18707657,-82.56633759,10019-4402,,,
ITT Technical Institute-Johnson City,36.32095718,-82.34175873,37615,,,
ITT Technical Institute-Salem,42.52140427,-70.89864349,97306-1905,,,
Casa Loma College-Los Angeles,34.05223846,-118.2433472,91403,,,
ITT Technical Institute-Concord,42.49549484,-71.12285614,94520,,,
ITT Technical Institute-Durham,35.90729768,-78.86399024,27703,,,
Unity College,44.60498428,-69.33153534,4260,,,
ITT Technical Institute-Brooklyn Center,45.07326126,-93.30596161,55430-4100,,,
Fortis Institute-Port Saint Lucie,27.30143166,-80.30343628,34952,,,
ITT Technical Institute-Wichita,37.68602371,-97.33557129,67226,,,
Digital Film Academy,40.75999832,-73.99120331,10036,,,
Northland Community and Technical College,33.5451889,-80.82971191,56701,,,
University of Phoenix-Hawaii,19.61087036,-155.52742,96707-2082,,,
Platt College-Anaheim,33.83449173,-117.9156418,92806-5949,,,
Theatre of Arts,42.25646973,-84.40364075,90038,,,
ITT Technical Institute-Springfield,39.79935837,-89.64362335,65807,,,
UEI College-Garden Grove,33.77821214,-117.9713398,92840-2409,,,
San Bernardino Valley College,34.08749771,-117.3107529,92410-2798,,,
The Art Institute of Colorado,39.73584366,-104.9857254,80203-2983,,,
South College-Asheville,35.57461929,-82.61485291,28803,,,
Argosy University-Twin Cities,44.95000076,-93.19999695,55121,,,
ITT Technical Institute-Harrisburg,40.25959396,-76.88187408,17111,,,
South University-Savannah,44.13713338,-93.9862657,31406,,,
National Tractor Trailer School Inc-Buffalo,42.8876915,-78.87937164,14210-2007,,,
ITT Technical Institute-Tucson,32.22187805,-110.9712219,85704-5829,,,
Strayer University-Mississippi,34.36377335,-89.53578186,39201,,,
Virginia College-Baton Rouge,30.4648838,-91.11695099,70815-8604,,,
ITT Technical Institute-DeSoto,32.58973312,-96.85305023,75115,,,
Apex School of Theology,35.92311478,-78.84093475,27703,,,
WestMed College,64.87072754,-147.8238831,95128-0000,,,
Indiana University-Northwest,41.55673981,-87.3380661,46408-1197,,,
ITT Technical Institute-Lexington,38.0463562,-84.49702454,40509,,,
Golf Academy of America-Phoenix,33.44820404,-112.0725861,85225,,,
Aviation Institute of Maintenance-Fremont,37.55020142,-121.9808273,94539,,,
Myotherapy Institute,38.38342285,-81.76409912,68510,,,
Herzing University-Orlando,28.53833008,-81.37887573,32792,,,
Bolivar Technical College,37.61307144,-93.4331665,65613-8095,,,
Hope International University,33.87678909,-117.8844757,92831-3199,,,
Capitol Technology University,39.04750061,-76.85150146,20708,,,
Inter American University of Puerto Rico-Metro,18.40642929,-66.18650818,919,,,
University of Saint Mary,39.27823639,-94.9050827,66048-5082,,,
Aviation Institute of Maintenance-Dallas,32.77797699,-96.79621124,75061,,,
Brightwood College-San Diego,32.72072983,-117.1590042,92123,,,
American Trade School,38.72866058,-90.37996674,63074-1807,,,
Ottawa University-Milwaukee,43.07778931,-87.88127136,53005,,,
ECPI University-Virginia Beach Health Sciences,37.60873032,-77.52684784,235000000,,,
ECPI University-Richmond West,25.6092453,-80.42931366,233000000,,,
